index	masked sentence	original sentence	json file	sentence begin	sentence end	denotation 1	denotation 2
10	We demonstrated that PGE 2 increased normal bronchial epithelial cell proliferation through induction of @GENE$ , an ankyrin repeat - containing Ser / Thr kinase implicated in the induction of apoptosis and the suppression of @DISEASE$ growth	We demonstrated that PGE 2 increased normal bronchial epithelial cell proliferation through induction of PDK1 , an ankyrin repeat - containing Ser / Thr kinase implicated in the induction of apoptosis and the suppression of tumor growth	x0wij3gt-4-abstract.json	0	236	{'id': 'A-biobert_T1', 'span': {'begin': 105, 'end': 110}, 'obj': 'Gene'}	{'id': 18, 'span': {'begin': 224, 'end': 230}, 'obj': 'Disease'}
11	The proteolytic activity of @GENE$ promotes @DISEASE$ angiogenesis and metastasis making it an important target for cancer therapy	The proteolytic activity of APN promotes cancer angiogenesis and metastasis making it an important target for cancer therapy	0pmo3opx-2-abstract.json	349	473	{'id': 'A-biobert_T7', 'span': {'begin': 377, 'end': 381}, 'obj': 'Gene'}	{'id': 14, 'span': {'begin': 459, 'end': 466}, 'obj': 'Disease'}
12	The proteolytic activity of @GENE$ promotes cancer angiogenesis and @DISEASE$ making it an important target for cancer therapy	The proteolytic activity of APN promotes cancer angiogenesis and metastasis making it an important target for cancer therapy	0pmo3opx-2-abstract.json	349	473	{'id': 'A-biobert_T7', 'span': {'begin': 377, 'end': 381}, 'obj': 'Gene'}	{'id': 13, 'span': {'begin': 414, 'end': 425}, 'obj': 'Disease'}
13	The proteolytic activity of @GENE$ promotes @DISEASE$ angiogenesis and metastasis making it an important target for cancer therapy	The proteolytic activity of APN promotes cancer angiogenesis and metastasis making it an important target for cancer therapy	0pmo3opx-2-abstract.json	349	473	{'id': 'A-biobert_T7', 'span': {'begin': 377, 'end': 381}, 'obj': 'Gene'}	{'id': 12, 'span': {'begin': 390, 'end': 397}, 'obj': 'Disease'}
14	By combining these substrate profiling and structural data , we were able to design a selective peptide inhibitor of @GENE$ that was an effective therapeutic both in vitro and in vivo against APN - expressing @DISEASE$ models .	By combining these substrate profiling and structural data , we were able to design a selective peptide inhibitor of APN that was an effective therapeutic both in vitro and in vivo against APN - expressing prostate cancer models .	0pmo3opx-2-abstract.json	797	1027	{'id': 'A-biobert_T11', 'span': {'begin': 914, 'end': 918}, 'obj': 'Gene'}	{'id': 15, 'span': {'begin': 1003, 'end': 1019}, 'obj': 'Disease'}
15	Thyme essential oil , mainly constituted by pcymene and thymol , only at high concentrations ( 5 , 000 mg / L ) significantly inhibited total mRNA IL - 1β expression in the mouse colon in which colitis was induced by @DISEASE$ , not inhibiting significantly @GENE$ expression [ 125 ] .	Thyme essential oil , mainly constituted by pcymene and thymol , only at high concentrations ( 5 , 000 mg / L ) significantly inhibited total mRNA IL - 1β expression in the mouse colon in which colitis was induced by TNBS , not inhibiting significantly IL - 6 expression [ 125 ] .	1dfzj1b3-95-body_text.json	575	855	{'id': 'A-biobert_T6', 'span': {'begin': 828, 'end': 835}, 'obj': 'Gene'}	{'id': 8, 'span': {'begin': 792, 'end': 797}, 'obj': 'Disease'}
16	Thyme essential oil , mainly constituted by pcymene and thymol , only at high concentrations ( 5 , 000 mg / L ) significantly inhibited total mRNA IL - 1β expression in the mouse colon in which @DISEASE$ was induced by TNBS , not inhibiting significantly @GENE$ expression [ 125 ] .	Thyme essential oil , mainly constituted by pcymene and thymol , only at high concentrations ( 5 , 000 mg / L ) significantly inhibited total mRNA IL - 1β expression in the mouse colon in which colitis was induced by TNBS , not inhibiting significantly IL - 6 expression [ 125 ] .	1dfzj1b3-95-body_text.json	575	855	{'id': 'A-biobert_T6', 'span': {'begin': 828, 'end': 835}, 'obj': 'Gene'}	{'id': 7, 'span': {'begin': 769, 'end': 777}, 'obj': 'Disease'}
17	Thyme essential oil , mainly constituted by pcymene and thymol , only at high concentrations ( 5 , 000 mg / L ) significantly inhibited total mRNA @GENE$ expression in the mouse colon in which colitis was induced by @DISEASE$ , not inhibiting significantly IL - 6 expression [ 125 ] .	Thyme essential oil , mainly constituted by pcymene and thymol , only at high concentrations ( 5 , 000 mg / L ) significantly inhibited total mRNA IL - 1β expression in the mouse colon in which colitis was induced by TNBS , not inhibiting significantly IL - 6 expression [ 125 ] .	1dfzj1b3-95-body_text.json	575	855	{'id': 'A-biobert_T5', 'span': {'begin': 722, 'end': 730}, 'obj': 'Gene'}	{'id': 8, 'span': {'begin': 792, 'end': 797}, 'obj': 'Disease'}
18	Thyme essential oil , mainly constituted by pcymene and thymol , only at high concentrations ( 5 , 000 mg / L ) significantly inhibited total mRNA @GENE$ expression in the mouse colon in which @DISEASE$ was induced by TNBS , not inhibiting significantly IL - 6 expression [ 125 ] .	Thyme essential oil , mainly constituted by pcymene and thymol , only at high concentrations ( 5 , 000 mg / L ) significantly inhibited total mRNA IL - 1β expression in the mouse colon in which colitis was induced by TNBS , not inhibiting significantly IL - 6 expression [ 125 ] .	1dfzj1b3-95-body_text.json	575	855	{'id': 'A-biobert_T5', 'span': {'begin': 722, 'end': 730}, 'obj': 'Gene'}	{'id': 7, 'span': {'begin': 769, 'end': 777}, 'obj': 'Disease'}
19	Although IFN has been shown to strongly control viral tropism and pathogenesis of @DISEASE$ , few @GENE$ have been identified	Although IFN has been shown to strongly control viral tropism and pathogenesis of tick - borne flaviviruses , few antiviral ISGs have been identified	p2h8p5bm-37-body_text.json	447	596	{'id': 'A-biobert_T4', 'span': {'begin': 561, 'end': 576}, 'obj': 'Gene'}	{'id': 9, 'span': {'begin': 529, 'end': 555}, 'obj': 'Disease'}
20	Although @GENE$ has been shown to strongly control viral tropism and pathogenesis of @DISEASE$ , few antiviral ISGs have been identified	Although IFN has been shown to strongly control viral tropism and pathogenesis of tick - borne flaviviruses , few antiviral ISGs have been identified	p2h8p5bm-37-body_text.json	447	596	{'id': 'A-biobert_T3', 'span': {'begin': 456, 'end': 460}, 'obj': 'Gene'}	{'id': 9, 'span': {'begin': 529, 'end': 555}, 'obj': 'Disease'}
21	A pronounced Th2 / Tfh gene expression profile occurs , including @GENE$ pathway activation , that does not appear to be substantially activated in @DISEASE$ - infected deer mice [ 13 , 38 ]	A pronounced Th2 / Tfh gene expression profile occurs , including IL - 4 pathway activation , that does not appear to be substantially activated in SNV - infected deer mice [ 13 , 38 ]	me1ajoyb-8-body_text.json	716	900	{'id': 'A-biobert_T1', 'span': {'begin': 782, 'end': 789}, 'obj': 'Gene'}	{'id': 4, 'span': {'begin': 864, 'end': 868}, 'obj': 'Disease'}
22	WDR48 stimulates the activity of three DUBs , USP12 , USP46 and USP1 , a @GENE$ which regulates the @DISEASE$ DNA damage pathway ( Cohn et al	WDR48 stimulates the activity of three DUBs , USP12 , USP46 and USP1 , a DUB which regulates the Fanconi anemia DNA damage pathway ( Cohn et al	oqte7dx2-12-body_text.json	415	558	{'id': 'A-biobert_T16', 'span': {'begin': 488, 'end': 492}, 'obj': 'Gene'}	{'id': 26, 'span': {'begin': 512, 'end': 527}, 'obj': 'Disease'}
23	WDR48 stimulates the activity of three DUBs , USP12 , USP46 and @GENE$ , a DUB which regulates the @DISEASE$ DNA damage pathway ( Cohn et al	WDR48 stimulates the activity of three DUBs , USP12 , USP46 and USP1 , a DUB which regulates the Fanconi anemia DNA damage pathway ( Cohn et al	oqte7dx2-12-body_text.json	415	558	{'id': 'A-biobert_T15', 'span': {'begin': 479, 'end': 484}, 'obj': 'Gene'}	{'id': 26, 'span': {'begin': 512, 'end': 527}, 'obj': 'Disease'}
24	WDR48 stimulates the activity of three DUBs , USP12 , @GENE$ and USP1 , a DUB which regulates the @DISEASE$ DNA damage pathway ( Cohn et al	WDR48 stimulates the activity of three DUBs , USP12 , USP46 and USP1 , a DUB which regulates the Fanconi anemia DNA damage pathway ( Cohn et al	oqte7dx2-12-body_text.json	415	558	{'id': 'A-biobert_T14', 'span': {'begin': 469, 'end': 475}, 'obj': 'Gene'}	{'id': 26, 'span': {'begin': 512, 'end': 527}, 'obj': 'Disease'}
25	WDR48 stimulates the activity of three DUBs , @GENE$ , USP46 and USP1 , a DUB which regulates the @DISEASE$ DNA damage pathway ( Cohn et al	WDR48 stimulates the activity of three DUBs , USP12 , USP46 and USP1 , a DUB which regulates the Fanconi anemia DNA damage pathway ( Cohn et al	oqte7dx2-12-body_text.json	415	558	{'id': 'A-biobert_T13', 'span': {'begin': 461, 'end': 467}, 'obj': 'Gene'}	{'id': 26, 'span': {'begin': 512, 'end': 527}, 'obj': 'Disease'}
26	WDR48 stimulates the activity of three @GENE$ , USP12 , USP46 and USP1 , a DUB which regulates the @DISEASE$ DNA damage pathway ( Cohn et al	WDR48 stimulates the activity of three DUBs , USP12 , USP46 and USP1 , a DUB which regulates the Fanconi anemia DNA damage pathway ( Cohn et al	oqte7dx2-12-body_text.json	415	558	{'id': 'A-biobert_T12', 'span': {'begin': 454, 'end': 459}, 'obj': 'Gene'}	{'id': 26, 'span': {'begin': 512, 'end': 527}, 'obj': 'Disease'}
27	Consistent with expectation , a dose - dependent reduction in frameshifting efficiency was observed upon addition of short , uncapped transcripts containing the @DISEASE$ PRRSV PRF signal or IRES stem - loop IV RNAs , but not with the control @GENE$ with the C - rich stretch mutated .	Consistent with expectation , a dose - dependent reduction in frameshifting efficiency was observed upon addition of short , uncapped transcripts containing the WT PRRSV PRF signal or IRES stem - loop IV RNAs , but not with the control mRNA with the C - rich stretch mutated .	rdgm0q7m-20-body_text.json	170	446	{'id': 'A-biobert_T6', 'span': {'begin': 406, 'end': 411}, 'obj': 'Gene'}	{'id': 8, 'span': {'begin': 331, 'end': 334}, 'obj': 'Disease'}
28	Consistent with expectation , a dose - dependent reduction in frameshifting efficiency was observed upon addition of short , uncapped transcripts containing the @DISEASE$ PRRSV PRF signal or @GENE$ , but not with the control mRNA with the C - rich stretch mutated .	Consistent with expectation , a dose - dependent reduction in frameshifting efficiency was observed upon addition of short , uncapped transcripts containing the WT PRRSV PRF signal or IRES stem - loop IV RNAs , but not with the control mRNA with the C - rich stretch mutated .	rdgm0q7m-20-body_text.json	170	446	{'id': 'A-biobert_T5', 'span': {'begin': 354, 'end': 379}, 'obj': 'Gene'}	{'id': 8, 'span': {'begin': 331, 'end': 334}, 'obj': 'Disease'}
29	Consistent with expectation , a dose - dependent reduction in frameshifting efficiency was observed upon addition of short , uncapped transcripts containing the @DISEASE$ PRRSV @GENE$ or IRES stem - loop IV RNAs , but not with the control mRNA with the C - rich stretch mutated .	Consistent with expectation , a dose - dependent reduction in frameshifting efficiency was observed upon addition of short , uncapped transcripts containing the WT PRRSV PRF signal or IRES stem - loop IV RNAs , but not with the control mRNA with the C - rich stretch mutated .	rdgm0q7m-20-body_text.json	170	446	{'id': 'A-biobert_T4', 'span': {'begin': 340, 'end': 351}, 'obj': 'Gene'}	{'id': 8, 'span': {'begin': 331, 'end': 334}, 'obj': 'Disease'}
30	Concerning the cat , specifically synthesized CpG - A molecules were recently shown to induce IFNγ [ 34 ] ; @GENE$ molecules indicated the capability to induce proliferation of feline cells [ 35 ] , and CpG - B - adjuvanted allergen indicated potential for immunotherapy in a feline @DISEASE$ model [ 36 ]	Concerning the cat , specifically synthesized CpG - A molecules were recently shown to induce IFNγ [ 34 ] ; CpG - B molecules indicated the capability to induce proliferation of feline cells [ 35 ] , and CpG - B - adjuvanted allergen indicated potential for immunotherapy in a feline asthma model [ 36 ]	yadkpazq-5-body_text.json	1035	1338	{'id': 'A-biobert_T16', 'span': {'begin': 1239, 'end': 1247}, 'obj': 'Gene'}	{'id': 22, 'span': {'begin': 1319, 'end': 1326}, 'obj': 'Disease'}
31	Concerning the cat , specifically synthesized CpG - A molecules were recently shown to induce IFNγ [ 34 ] ; @GENE$ molecules indicated the capability to induce proliferation of feline cells [ 35 ] , and CpG - B - adjuvanted allergen indicated potential for immunotherapy in a feline @DISEASE$ model [ 36 ]	Concerning the cat , specifically synthesized CpG - A molecules were recently shown to induce IFNγ [ 34 ] ; CpG - B molecules indicated the capability to induce proliferation of feline cells [ 35 ] , and CpG - B - adjuvanted allergen indicated potential for immunotherapy in a feline asthma model [ 36 ]	yadkpazq-5-body_text.json	1035	1338	{'id': 'A-biobert_T15', 'span': {'begin': 1143, 'end': 1151}, 'obj': 'Gene'}	{'id': 22, 'span': {'begin': 1319, 'end': 1326}, 'obj': 'Disease'}
32	Concerning the cat , specifically synthesized CpG - A molecules were recently shown to induce @GENE$ [ 34 ] ; CpG - B molecules indicated the capability to induce proliferation of feline cells [ 35 ] , and CpG - B - adjuvanted allergen indicated potential for immunotherapy in a feline @DISEASE$ model [ 36 ]	Concerning the cat , specifically synthesized CpG - A molecules were recently shown to induce IFNγ [ 34 ] ; CpG - B molecules indicated the capability to induce proliferation of feline cells [ 35 ] , and CpG - B - adjuvanted allergen indicated potential for immunotherapy in a feline asthma model [ 36 ]	yadkpazq-5-body_text.json	1035	1338	{'id': 'A-biobert_T14', 'span': {'begin': 1129, 'end': 1134}, 'obj': 'Gene'}	{'id': 22, 'span': {'begin': 1319, 'end': 1326}, 'obj': 'Disease'}
33	Concerning the cat , specifically synthesized @GENE$ molecules were recently shown to induce IFNγ [ 34 ] ; CpG - B molecules indicated the capability to induce proliferation of feline cells [ 35 ] , and CpG - B - adjuvanted allergen indicated potential for immunotherapy in a feline @DISEASE$ model [ 36 ]	Concerning the cat , specifically synthesized CpG - A molecules were recently shown to induce IFNγ [ 34 ] ; CpG - B molecules indicated the capability to induce proliferation of feline cells [ 35 ] , and CpG - B - adjuvanted allergen indicated potential for immunotherapy in a feline asthma model [ 36 ]	yadkpazq-5-body_text.json	1035	1338	{'id': 'A-biobert_T13', 'span': {'begin': 1081, 'end': 1089}, 'obj': 'Gene'}	{'id': 22, 'span': {'begin': 1319, 'end': 1326}, 'obj': 'Disease'}
34	Evolutionary analyses of pathogen genome sequences increasingly provide insights into the spatial dynamics of @DISEASE$ viruses , but to date they have largely neglected the wealth of information on human mobility , mainly because no statistical framework exists within which @GENE$ and empirical data on host movement can be combined	Evolutionary analyses of pathogen genome sequences increasingly provide insights into the spatial dynamics of influenza viruses , but to date they have largely neglected the wealth of information on human mobility , mainly because no statistical framework exists within which viral gene sequences and empirical data on host movement can be combined	04q71md3-2-abstract.json	318	666	{'id': 'A-biobert_T2', 'span': {'begin': 594, 'end': 615}, 'obj': 'Gene'}	{'id': 6, 'span': {'begin': 428, 'end': 438}, 'obj': 'Disease'}
35	Evolutionary analyses of @GENE$ increasingly provide insights into the spatial dynamics of @DISEASE$ viruses , but to date they have largely neglected the wealth of information on human mobility , mainly because no statistical framework exists within which viral gene sequences and empirical data on host movement can be combined	Evolutionary analyses of pathogen genome sequences increasingly provide insights into the spatial dynamics of influenza viruses , but to date they have largely neglected the wealth of information on human mobility , mainly because no statistical framework exists within which viral gene sequences and empirical data on host movement can be combined	04q71md3-2-abstract.json	318	666	{'id': 'A-biobert_T1', 'span': {'begin': 343, 'end': 369}, 'obj': 'Gene'}	{'id': 6, 'span': {'begin': 428, 'end': 438}, 'obj': 'Disease'}
36	Thus , small intestinal epithelial cell adhesion and subsequent colonization by ETEC is mediated by F4 - or F18 - specific receptors ( F4R or @GENE$ ) , the existence and function of which are crucial in determining the susceptibility of pigs to @DISEASE$ [ 2 , 7 ]	Thus , small intestinal epithelial cell adhesion and subsequent colonization by ETEC is mediated by F4 - or F18 - specific receptors ( F4R or F18R ) , the existence and function of which are crucial in determining the susceptibility of pigs to ETEC infection [ 2 , 7 ]	v07oosd2-9-body_text.json	224	492	{'id': 'A-biobert_T6', 'span': {'begin': 366, 'end': 371}, 'obj': 'Gene'}	{'id': 8, 'span': {'begin': 468, 'end': 483}, 'obj': 'Disease'}
37	Thus , small intestinal epithelial cell adhesion and subsequent colonization by ETEC is mediated by F4 - or F18 - specific receptors ( @GENE$ or F18R ) , the existence and function of which are crucial in determining the susceptibility of pigs to @DISEASE$ [ 2 , 7 ]	Thus , small intestinal epithelial cell adhesion and subsequent colonization by ETEC is mediated by F4 - or F18 - specific receptors ( F4R or F18R ) , the existence and function of which are crucial in determining the susceptibility of pigs to ETEC infection [ 2 , 7 ]	v07oosd2-9-body_text.json	224	492	{'id': 'A-biobert_T5', 'span': {'begin': 359, 'end': 363}, 'obj': 'Gene'}	{'id': 8, 'span': {'begin': 468, 'end': 483}, 'obj': 'Disease'}
38	Thus , small intestinal epithelial cell adhesion and subsequent colonization by ETEC is mediated by @GENE$ ( F4R or F18R ) , the existence and function of which are crucial in determining the susceptibility of pigs to @DISEASE$ [ 2 , 7 ]	Thus , small intestinal epithelial cell adhesion and subsequent colonization by ETEC is mediated by F4 - or F18 - specific receptors ( F4R or F18R ) , the existence and function of which are crucial in determining the susceptibility of pigs to ETEC infection [ 2 , 7 ]	v07oosd2-9-body_text.json	224	492	{'id': 'A-biobert_T4', 'span': {'begin': 324, 'end': 357}, 'obj': 'Gene'}	{'id': 8, 'span': {'begin': 468, 'end': 483}, 'obj': 'Disease'}
39	Irrespective of the overall common suppressive action in draining LN during @DISEASE$ , the function of endogenous @GENE$ + Treg migrating to and residing in the CNS throughout persistence remains obscure	Irrespective of the overall common suppressive action in draining LN during viral infection , the function of endogenous Foxp3 + Treg migrating to and residing in the CNS throughout persistence remains obscure	sb3ccvsk-19-body_text.json	0	209	{'id': 'A-biobert_T1', 'span': {'begin': 121, 'end': 127}, 'obj': 'Gene'}	{'id': 15, 'span': {'begin': 76, 'end': 92}, 'obj': 'Disease'}
40	Regulation of the CNS autoimmune responses by @GENE$ Tregs is also ineffective during @DISEASE$ ( 48 )	Regulation of the CNS autoimmune responses by Foxp3 + Tregs is also ineffective during EAE ( 48 )	sb3ccvsk-19-body_text.json	329	426	{'id': 'A-biobert_T2', 'span': {'begin': 375, 'end': 383}, 'obj': 'Gene'}	{'id': 16, 'span': {'begin': 416, 'end': 420}, 'obj': 'Disease'}
41	Expression of both cytokines during @DISEASE$ infection ( 49 ) suggests they may have similar suppressive activity on local @GENE$ + Treg	Expression of both cytokines during JHMV infection ( 49 ) suggests they may have similar suppressive activity on local Foxp3 + Treg	sb3ccvsk-19-body_text.json	569	700	{'id': 'A-biobert_T6', 'span': {'begin': 688, 'end': 694}, 'obj': 'Gene'}	{'id': 17, 'span': {'begin': 605, 'end': 610}, 'obj': 'Disease'}
42	Alternatively , a potential deficit of @GENE$ access to CNS demyelinating lesions , with perivascular retention , may explain their inability to regulate @DISEASE$ and will require further investigation	Alternatively , a potential deficit of Foxp3 + Treg access to CNS demyelinating lesions , with perivascular retention , may explain their inability to regulate CNS inflammation and will require further investigation	sb3ccvsk-19-body_text.json	703	918	{'id': 'A-biobert_T7', 'span': {'begin': 742, 'end': 755}, 'obj': 'Gene'}	{'id': 19, 'span': {'begin': 863, 'end': 880}, 'obj': 'Disease'}
43	Alternatively , a potential deficit of @GENE$ access to @DISEASE$ , with perivascular retention , may explain their inability to regulate CNS inflammation and will require further investigation	Alternatively , a potential deficit of Foxp3 + Treg access to CNS demyelinating lesions , with perivascular retention , may explain their inability to regulate CNS inflammation and will require further investigation	sb3ccvsk-19-body_text.json	703	918	{'id': 'A-biobert_T7', 'span': {'begin': 742, 'end': 755}, 'obj': 'Gene'}	{'id': 18, 'span': {'begin': 765, 'end': 791}, 'obj': 'Disease'}
44	While rebound Tregs are dysfunctional ( 28 ) , @GENE$ have been shown to protect against lethal autoimmunity and may thus suffice to control the SR CD4 + T cells during @DISEASE$ ( 23 )	While rebound Tregs are dysfunctional ( 28 ) , DT - resistant Foxp3 + Tregs have been shown to protect against lethal autoimmunity and may thus suffice to control the SR CD4 + T cells during chronic JHMV infection ( 23 )	sb3ccvsk-19-body_text.json	1250	1470	{'id': 'A-biobert_T10', 'span': {'begin': 1297, 'end': 1326}, 'obj': 'Gene'}	{'id': 22, 'span': {'begin': 1441, 'end': 1464}, 'obj': 'Disease'}
45	While rebound Tregs are dysfunctional ( 28 ) , @GENE$ have been shown to protect against lethal @DISEASE$ and may thus suffice to control the SR CD4 + T cells during chronic JHMV infection ( 23 )	While rebound Tregs are dysfunctional ( 28 ) , DT - resistant Foxp3 + Tregs have been shown to protect against lethal autoimmunity and may thus suffice to control the SR CD4 + T cells during chronic JHMV infection ( 23 )	sb3ccvsk-19-body_text.json	1250	1470	{'id': 'A-biobert_T10', 'span': {'begin': 1297, 'end': 1326}, 'obj': 'Gene'}	{'id': 21, 'span': {'begin': 1368, 'end': 1381}, 'obj': 'Disease'}
46	In contrast to the lack of Foxp3 + Treg suppressive function within the CNS , @GENE$ − / − mice displayed increased virus and SR CD4 + T cell responses , implicating Tr1 cells as a major regulator of @DISEASE$ during chronic JHMV infection	In contrast to the lack of Foxp3 + Treg suppressive function within the CNS , IL - 27R − / − mice displayed increased virus and SR CD4 + T cell responses , implicating Tr1 cells as a major regulator of CNS inflammation during chronic JHMV infection	sb3ccvsk-19-body_text.json	1612	1860	{'id': 'A-biobert_T13', 'span': {'begin': 1690, 'end': 1699}, 'obj': 'Gene'}	{'id': 23, 'span': {'begin': 1814, 'end': 1831}, 'obj': 'Disease'}
47	In contrast to the lack of @GENE$ + Treg suppressive function within the CNS , IL - 27R − / − mice displayed increased virus and SR CD4 + T cell responses , implicating Tr1 cells as a major regulator of @DISEASE$ during chronic JHMV infection	In contrast to the lack of Foxp3 + Treg suppressive function within the CNS , IL - 27R − / − mice displayed increased virus and SR CD4 + T cell responses , implicating Tr1 cells as a major regulator of CNS inflammation during chronic JHMV infection	sb3ccvsk-19-body_text.json	1612	1860	{'id': 'A-biobert_T12', 'span': {'begin': 1639, 'end': 1645}, 'obj': 'Gene'}	{'id': 23, 'span': {'begin': 1814, 'end': 1831}, 'obj': 'Disease'}
